'No';'Name';'Description';'Image Url';'Price (IDR)';'Rating'
'1';'IPHONE XR 64GB Second original mulus - Merah';'FULLSET jaringan aman 100% Bisa pakai semua kartu / all provider  Ready stok iphone original 100%   kemulusan unit 97-99% semua fungsi normal lancar jaya Ex inter Global silent kamera KESEHATAN BH DIATAS 90% 3utools random 95% - 100% ga bisa REQUEST LCD original bawaan 100% icloud kosong. bebas reset. bebas update Garansi 1 Bulan setelah barang diterima kecuali segel rusak / human error Feedback negatif garansi hangus Fullset (lengkap) acc oem untuk headset di pairing dulu kak konek bluetooth  Note : perlengkapan aksesoris OEM artinya bukan original bawaan. seperti Adapter / Kabel / Headset tidak ada garansi';'https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/17/43c6045b-6876-4a03-84e1-0353add8c329.jpg.webp?ect=4g';'5298000';'4.9'
'2';'Iphone x 64GB fullset second original mulus - Putih, 64 gb';'100% BISA SEMUA SIM OPERATOR INDO  - Produk Original - Fungsional Normal Beserta fiturnya Tidak Minus - Mulus (Like New) - LCD Dan Casing Masih Original Pabrik - ICLOUD Aman 100% Bebas Reset - Imei BOX Dan Mesin COCOK 100% - Garansi Personal 1 Minggu (Tukar Baru) - Kelengkapan Fullset (Dus,Kabel,Adpt,HF) - Kelengkapan HF ORI (khusus iP 7 – 8 – X -Xs) - Kondisi Dikirim Yang Terbaik - Region AS , UK , EN , CH (SILENT KAMERA)  Kami Tentu Akan Quality Check Sebelum Mengirimkan Pesanan  - Pengiriman Via Ekspedisi (JNE) - Sabtu Dan Minggu Tetap Buka Dan Tetap Ada Pengiriman - ALL UNIT Sudah PASS QUALITY CHECK , Dijamin HARDWARE/SOFTWARE Tidak Ada Rusak !! - ALL UNIT Bergaransi Personal Selama 1 BULAN Setelah Barang Sampai  Garansi Tidak Berlaku Apabila : a. Kerusakan Di Akibatkan Oleh Kesalahan User Seperti Tersiram Cairan Dan Terjatuh / Terbanting. b. Kerusakan Di Akibatkan Oleh Tegangan Listrik Yang Tidak Stabil c. Kerusakan Di Akibatkan Oleh Penggunaan Kasar Seperti, Membuka Kasar/Paksa Slot SIM Sehingga Membuat Rusak Mesin Bagian SIM CARD, Dll. d. Lecet Yang Terjadi Karena Pemakaian Sehari Hari e. LCD Retak / Pecah f. Handphone Sudah Pernah Dibongkar Ataupun Diperbaiki Sendiri  Ketentuan Return : 1. Garansi Mesin Di Berikan Selama 1 BULAN . 2. Garansi LCD : 1 MINGGU 3. Kami Tidak Akan Memproses Barang Yang Terdapat ICLOUD ..!! 4. Aksesoris Tidak Bergaransi. 5. Barang Yang Di Retur Harus Dalam Keadaan Fisik Bagus (Tidak Ada Baret) Dan SEGEL Utuh (Tidak Rusak).  Etimasi Waktu Pengiriman : Produk Yang Kakak Beli Akan Dikirimkan Maksimal 48 Jam  FREE GIFT : SOFTCASE & KARTU PERDANA SMARTFREN';'https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/5/f0434d60-b52f-4f12-99a3-d94f576c9a65.jpg.webp?ect=4g';'4750000';'4.9'
